"","6147","","Contemporary African Plays: Death and the King's;Anowa;Chattering & the Song;Rise & Shine of Comrade;Woza Albert!;Other War","Martin Banham","1999","Plays","","","4.19","16","2022/03/25"
"","6148","","Ride of the Second Horseman: The Birth and Death of War","Robert L. O'Connell","1995","History","Nonfiction","","4.29","17","2022/03/25"
"","6149","Beloved Trilogy","Beloved","Toni Morrison","1987","Fiction","Classics","Historical","3.91","371138","2022/03/25"
"","6150","","Cry, the Beloved Country","Alan Paton","1948","Fiction","Classics","Cultural","3.9","70770","2022/03/25"
"","6151","","Life of the Beloved: Spiritual Living in a Secular World","Henri J.M. Nouwen","1992","Spirituality","Christian","Nonfiction","4.18","11900","2022/03/25"
"","6152","","Come Away My Beloved","Frances J. Roberts","1970","Christian","Nonfiction","Religion","4.58","740","2022/03/25"
"","6153","The Beloved Dearly","The Beloved Dearly","Doug Cooney","2001","Childrens","Middle Grade","Childrens","3.77","450","2022/03/25"
"","6154","","Embracing the Beloved: Relationship as a Path of Awakening","Stephen Levine","1994","Religion","Buddhism","Spirituality","4.09","195","2022/03/25"
"","6155","","Israel, My Beloved","Kay Arthur","1996","Fiction","Christian Fiction","Historical","4.14","920","2022/03/25"
"","6156","","Beloved Bride: The Letters of Stonewall Jackson to His Wife","Bill Potter","2002","History","Biography","Military History","4.07","150","2022/03/25"
"","6157","","The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook)","Jean Houston","1987","Spirituality","Psychology","Nonfiction","3.88","72","2022/03/25"
"","6158","","Apologies to the Iroquois","Edmund Wilson","1959","History","North American Hi...","American History","4.13","31","2022/03/25"
"","6159","","Reservation Blues","Sherman Alexie","1995","Fiction","Magical Realism","Literature","3.98","13150","2022/03/25"
"","6160","","Housicwhissick Blue: Poetry of the Blue Hills Reservation","Iris D. Gomez","2003","","","","5.0","1","2022/03/25"
"","6161","","Map Massachusetts: Blue Hills Reservation/Mount Tom/Holyoke Range","Appalachian Mountain Club Books","","","","","0.0","0","2022/03/25"
"","6162","The Border Trilogy","All the Pretty Horses","Cormac McCarthy","","Fiction","Westerns","Historical","4.01","102538","2022/03/25"
"","6163","The Border Trilogy","The Border Trilogy: All the Pretty Horses, The Crossing, Cities of the Plain","Cormac McCarthy","1994","Fiction","Westerns","Literature","4.44","5923","2022/03/25"
"","6164","","Cliff Notes on: All the Pretty Horses","Jeanne Inness","","","","","3.45","11","2022/03/25"
"","6165","Continuum Contemporaries","Cormac McCarthy's All the Pretty Horses: A Reader's Guide","Stephen Tatum","","","","","3.79","14","2022/03/25"
"","6166","","Music of Silence: A Sacred Journey Through the Hours of the Day","David Steindl-Rast","2001","Spirituality","Religion","Nonfiction","4.21","209","2022/03/25"
"","6167","","Music & Silence","Rose Tremain","1999","Historical","Historical Fiction","Fiction","3.95","4110","2022/03/25"
"","6168","","The Music of Silence: A Memoir","Andrea Bocelli","1999","Nonfiction","Biography","Music","3.95","344","2022/03/25"
"","6169","","The Music of Silence: Entering the Sacred Space of Monastic Experience","David Steindl-Rast","1995","Spirituality","","","4.36","28","2022/03/25"
"","6170","","Music and Silence","Anne Redmon","1979","Fiction","","","3.86","14","2022/03/25"
"","6171","","The Music of Silence: Entering the Sacred Space of Monastic Experience","David Steindl-Rast","1995","Spirituality","","","4.36","28","2022/03/25"
"","6172","","Music in Silence","Charles Bivins","1994","","","","2.5","2","2022/03/25"
