"2162","","Confesiones de un gángster económico","John Perkins","2004","Nonfiction","Economics","Politics","3.86","34449","2022/03/20"
"2163","","The Hit Man: One Man's Strategy for Growth, Change, and Profit","Phillip Hurst","","","","","3.0","1","2022/03/20"
"2164","","The Hit Man's Dilemma: Or Business, Personal and Impersonal","Keith Hart","","Economics","Nonfiction","","3.46","13","2022/03/20"
"2165","","The Old Man and the Sea","Ernest Hemingway","1952","Classics","Fiction","Literature","3.79","963636","2022/03/20"
"2166","","The Old Man and the Sea","Ernest Hemingway","1952","Classics","Fiction","Literature","3.79","963636","2022/03/20"
"2167","","Cliffs Notes on Hemingway's The Old Man and the Sea","Jeanne Sallade Criswell","","","","","2.78","9","2022/03/20"
"2168","","The Old Man and the Sea","Ernest Hemingway","","Classics","Fiction","Literature","3.79","963636","2022/03/20"
"2169","","The Old Man and the Sea","Ernest Hemingway","1952","Classics","Fiction","Literature","3.79","963636","2022/03/20"
"2170","","The Old Man And The Seaa Unit Plan Based On The Story By Ernest Hemingway.","Mary B. Collins","1996","","","","2.0","1","2022/03/20"
"2171","","My Old Man and the Sea","David Hays","1968","Nonfiction","Travel","Autobiography","3.88","731","2022/03/20"
"2172","","Old Man and the Sea","Ernest Hemingway","1952","Classics","Fiction","Literature","3.79","963636","2022/03/20"
"2173","","Old Man and the Sea","Ernest Hemingway","1952","Classics","Fiction","Literature","3.79","963636","2022/03/20"
"2174","","Flaubert: A Biography","Frederick Brown","2006","Biography","History","Nonfiction","3.94","51","2022/03/20"
"2175","","Madame Bovary","Gustave Flaubert","1856","Classics","Fiction","Cultural","3.69","287586","2022/03/20"
"2176","","Flaubert's Parrot","Julian Barnes","1984","Fiction","Literature","European Literature","3.65","13643","2022/03/20"
"2177","","The Letters of Gustave Flaubert: 1857-1880","Gustave Flaubert","1982","Nonfiction","Cultural","France","4.56","52","2022/03/20"
"2178","","Flaubert in Egypt: A Sensibility on Tour","Gustave Flaubert","1849","Travel","Nonfiction","Classics","3.62","429","2022/03/20"
